"uid","domainID","siteID","plotID","date","night","eventID","setTraps","disturbedTraps","samplingEffort","samplingProtocol","identificationReferences","remarks","duplicateNightQF","missingRecordsPerBoutQF"
"76BFDFBE4D964C98BEF2A51F90BADD21","D03","OSBS","OSBS_002","2013-07-09",1,"MAM.OSBS.2013.07",100,2,98,"NEON.DOC.000481","Reid, F. 2006. ","2013 updated to 2014 protocol format.",0,0
"AE1641C80C2B467591B6BDDFF585E150","D03","OSBS","OSBS_004","2013-07-09",1,"MAM.OSBS.2013.07",100,8,92,"NEON.DOC.000481","Reid, F. 2006. ","2013 updated to 2014 protocol format",0,0
"5E0EC4E9191E47A588762B8EFEEE8D3D","D03","OSBS","OSBS_004","2013-07-10",2,"MAM.OSBS.2013.07",100,7,93,"NEON.DOC.000481","Reid, F. 2006. ","2013 updated to 2014 data format",0,0
"276D727BA36C4B1D80A960042295B76B","D03","OSBS","OSBS_002","2013-07-10",2,"MAM.OSBS.2013.07",100,3,97,"NEON.DOC.000481","Reid, F. 2006. ","2031 updated to 2014 protocol format",0,0
"AAC404BC859D468DAA8E55FB7361CB04","D03","OSBS","OSBS_004","2013-07-11",3,"MAM.OSBS.2013.07",100,1,99,"NEON.DOC.000481","Reid, F. 2006. ","2013 updated to 2014 data format",0,0
"CC7265599380443A858A037812297229","D03","OSBS","OSBS_002","2013-07-11",3,"MAM.OSBS.2013.07",100,0,100,"NEON.DOC.000481","Reid, F. 2006. ","2013 updated to 2014 protocol/ data format",0,0
"0C50A38F7BF64668AAB84E55F7FD3AAA","D03","OSBS","OSBS_023","2013-07-12",1,"MAM.OSBS.2013.07",100,1,99,"NEON.DOC.000481","Reid, F. 2006. ","2013 updated to 2014 data format",0,0
"00D67AEE069B4BA4B3BE0130E49AB8E5","D03","OSBS","OSBS_012","2013-07-13",1,"MAM.OSBS.2013.07",100,0,100,"NEON.DOC.000481","Reid, F. 2006. ","2013 updated to 2014 format. no captures",0,1
"7E383430B20141618373A46C33DE2D23","D03","OSBS","OSBS_023","2013-07-13",2,"MAM.OSBS.2013.07",100,0,100,"NEON.DOC.000481","Reid, F. 2006. ","2013 updated to 2014 data format",0,0
"C973791B82C94001A6B69B85F454497C","D03","OSBS","OSBS_012","2013-07-14",2,"MAM.OSBS.2013.07",0,0,0,"NEON.DOC.000481","Reid, F. 2006. ",,0,1
"C8D1B4EFAFFB45ADB2C7F469666A2550","D03","OSBS","OSBS_023","2013-07-14",3,"MAM.OSBS.2013.07",0,0,0,"NEON.DOC.000481","Reid, F. 2006. ","pulled due to storm",0,0
