"uid","domainID","siteID","plotID","trapCoordinate","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","date","eventID","individualID","taxonID","scientificName","taxonRank","identificationQualifier","identificationStatus","sex","reproductiveCondition","recapture","fate","replacedTag","lifeStage","testes","nipples","pregnancyStatus","vagina","hindfootLength","earLength","tailLength","totalLength","weight","bloodSampleID","bloodSampleMethod","fecalSampleID","fecalSampleCondition","earSampleID","hairSampleID","whiskerSampleID","voucherSampleID","measuredBy","recordedBy","remarks","consistencyTagIDSexQF","consistencyTagIDTaxonIDQF","consistencyTagIDLifeStageQF","orderTagIDRecaptureQF","orderTagIDLifeStageQF"
"DABD9545B9684F1E95E3FE360372DD43","D03","OSBS","OSBS_005","I2","woodyWetlands",29.695420,-82.025639,"WGS84",,37.3,,"2013-09-13","MAM.OSBS.2013.09","NEON.MAM.D03.0R2014","SIHI","Sigmodon hispidus","species",," ","M","R","Y",,,"adult","scrotal",,,,32.0,,,,173.00,,,,,,,,,"B39Fz+6ICuzsBzlHVUgoASwdeU6J+1wE","CLwrvAJdtAalrm+QV6SRfOkYlwXhAzWx",,0,0,0,-1,0
"F3415FB196D647AEA3D5E087D1879F82","D03","OSBS","OSBS_005","I1","woodyWetlands",29.695510,-82.025640,"WGS84",,37.4,,"2013-09-13","MAM.OSBS.2013.09",,"PESP","Peromyscus sp.","genus","cf. species"," ",,"N","Y","escaped",,,,,"not",,,,,,,,,,,,,,,"B39Fz+6ICuzsBzlHVUgoASwdeU6J+1wE","CLwrvAJdtAalrm+QV6SRfOkYlwXhAzWx",,-1,-1,-1,-1,-1
"4161A4CB50AD4C4FB48279C66DD4B0F9","D03","OSBS","OSBS_005","G2","woodyWetlands",29.695418,-82.025846,"WGS84",,37.4,,"2013-09-13","MAM.OSBS.2013.09","NEON.MAM.D03.0R2021","SIHI","Sigmodon hispidus","species",," ","F","N","Y","escaped",,"adult",,"nonenlarged","not","neither",24.0,,,,,,,,,,,,,"B39Fz+6ICuzsBzlHVUgoASwdeU6J+1wE","CLwrvAJdtAalrm+QV6SRfOkYlwXhAzWx",,0,0,0,-1,0
"3448B643F6094512BECA9F701C9315AB","D03","OSBS","OSBS_005","D10","woodyWetlands",29.694694,-82.026148,"WGS84",,37.0,,"2014-04-23","MAM.OSBS.2014.05",,"GLVO","Glaucomys volans","species",," ","U","N","N",,,"adult",,,"not",,,,,,,,,,,,,,,"Sb8D4VxxoIjNRU2egFuiFmhpZdv5UFvW","SZd6jJU+PWukgvziuyetpzviWNuM2FzT","non target- released without processing",-1,-1,-1,-1,-1
"7A77874866144300B189B80DBBFC1F10","D03","OSBS","OSBS_004","I3","evergreenForest",29.683146,-81.957775,"WGS84",,39.9,,"2014-04-23","MAM.OSBS.2014.05",,,,,," ",,"N",,,,,,,,,,,,,,,,,,,,,,"JdN6ZmAx7oWFIyzymv+BnRh9VwthDgp6K22EnIME4dI=","4cqeLHiLe4hyy8sn+zfSLIDfctUtW0hJ",,-1,-1,-1,-1,-1
"5253E3644E3347F29DB57C2D541E9414","D03","OSBS","OSBS_012","D4","woodyWetlands",29.720196,-81.985098,"WGS84",,32.1,,"2014-06-18","MAM.OSBS.2014.07","NEON.MAM.D03.0L2725","SIHI","Sigmodon hispidus","species",," ","M","R","Y",,"Left","adult","scrotal",,,,30.0,,,,85.00,,"unsuccessful","OSBS.20140618.L2725.F","fresh",,,,,"v7a5KMTkFH7DgaRo46hfflVQQqwuV2HD","JdN6ZmAx7oWmgJTT7ZCkIiDetk5BQ8MqI0IpeCDHq2o=","blood not collect b/c not bleeding site.  Also, a recapture that needed eartag replaced, no previous tag # available",0,0,0,-1,0
"A89E46985761417981F8EBAE16F6F6BA","D03","OSBS","OSBS_005","B7","woodyWetlands",29.694963,-82.026358,"WGS84",,37.3,,"2014-06-19","MAM.OSBS.2014.07",,"GLVO","Glaucomys volans","species",," ",,"N","N","nontarget",,,,,"not",,,,,,,,,,,,,,,"F0OBrKFXXmbaX1Z1kxjlur7RvhHv7pRm","5DgdPLlMgjaR2O77F10sUDRhg75PRbnT","Flying squirrel released",-1,-1,-1,-1,-1
"21B72F5B850249C0BC10AED8345BC3C3","D03","OSBS","OSBS_005","E1","woodyWetlands",29.695507,-82.026053,"WGS84",,37.6,,"2014-06-19","MAM.OSBS.2014.07","NEON.MAM.D03.0R2735","OCNU","Ochrotomys nuttalli","species",," ","M","N","N",,,"adult","nonscrotal",,,,18.0,,,,17.00,,,"OSBS.20140619.R2735.F","fresh","OSBS.20140619.R2735.E",,,,"F0OBrKFXXmbaX1Z1kxjlur7RvhHv7pRm","5DgdPLlMgjaR2O77F10sUDRhg75PRbnT",,0,0,0,-1,0
"C21CC99766F24B1C8CD19562B5BB968F","D03","OSBS","OSBS_023","A6","emergentHerbaceousWetlands",29.723452,-81.984830,"WGS84",,32.0,,"2014-06-19","MAM.OSBS.2014.07","NEON.MAM.D03.0R1073","SIHI","Sigmodon hispidus","species",," ","M","N","N",,,"juvenile","nonscrotal",,,,32.0,,,,60.00,,"unsuccessful",,,"OSBS.20140619.R1073.E",,,,"JdN6ZmAx7oWmgJTT7ZCkIiDetk5BQ8MqI0IpeCDHq2o=","4L8ym37Asu8N3cU4D/tF0hHqApAg5DIM",,0,0,0,-1,0
"7AB0768A34084DFCB93ED3790A583D36","D03","OSBS","OSBS_023","G8","emergentHerbaceousWetlands",29.723276,-81.984208,"WGS84",,32.0,,"2014-06-19","MAM.OSBS.2014.07","NEON.MAM.D03.0L1079","SIHI","Sigmodon hispidus","species",," ","M","R","N","escaped",,"adult","scrotal",,,,32.0,,,,,,"unsuccessful","OSBS.20140619.L1079.F","old","OSBS.20140619.L1079.E",,,,"JdN6ZmAx7oWmgJTT7ZCkIiDetk5BQ8MqI0IpeCDHq2o=","4L8ym37Asu8N3cU4D/tF0hHqApAg5DIM","Escaped before getting weight; could not get blood - need longer lancet!",0,0,0,-1,0
"F91F9353B4EA4AF79BCFBB6F0E775000","D03","OSBS","OSBS_023","A8","emergentHerbaceousWetlands",29.723271,-81.984828,"WGS84",,32.0,,"2014-06-19","MAM.OSBS.2014.07","NEON.MAM.D03.0L1024","SIHI","Sigmodon hispidus","species",," ","M","R","N",,,"adult","scrotal",,,,32.0,,,,172.00,,"unsuccessful","OSBS.20140619.L1024.F","fresh","OSBS.20140619.L1024.E",,,,"JdN6ZmAx7oWmgJTT7ZCkIiDetk5BQ8MqI0IpeCDHq2o=","4L8ym37Asu8N3cU4D/tF0hHqApAg5DIM",,0,0,0,-1,0
"9DEA688BB04C4E69BDC8F006E9C46E44","D03","OSBS","OSBS_005","D10","woodyWetlands",29.694694,-82.026148,"WGS84",,37.0,,"2014-06-20","MAM.OSBS.2014.07",,"GLVO","Glaucomys volans","species",," ",,"N","N","nontarget",,,,,"not",,,,,,,,,,,,,,,"F0OBrKFXXmbaX1Z1kxjlur7RvhHv7pRm","5DgdPLlMgjaR2O77F10sUDRhg75PRbnT",,-1,-1,-1,-1,-1
"FE8CB487FB3B4563B1CC844D7494E393","D03","OSBS","OSBS_005","F2","woodyWetlands",29.695417,-82.025949,"WGS84",,37.4,,"2014-06-20","MAM.OSBS.2014.07","NEON.MAM.D03.0R2735","OCNU","Ochrotomys nuttalli","species",," ","M","N","Y",,,"adult","nonscrotal",,,,17.0,,,,16.00,,,"OSBS.20140620.R2735.F","old",,,,,"F0OBrKFXXmbaX1Z1kxjlur7RvhHv7pRm","5DgdPLlMgjaR2O77F10sUDRhg75PRbnT",,0,0,0,-1,0
"F0AD0304913049F99EDEC72A9B21BFAB","D03","OSBS","OSBS_023","A10","emergentHerbaceousWetlands",29.723091,-81.984826,"WGS84",,32.0,,"2014-06-20","MAM.OSBS.2014.07","NEON.MAM.D03.0L1079","SIHI","Sigmodon hispidus","species",," ","M","R","Y",,,"adult","scrotal",,,,31.0,,,,152.00,,"unsuccessful","OSBS.20140620.L1079.F","fresh",,,,,"JdN6ZmAx7oWmgJTT7ZCkIiDetk5BQ8MqI0IpeCDHq2o=","4L8ym37Asu8N3cU4D/tF0hHqApAg5DIM",,0,0,0,-1,0
"40284B6DAC82416EB044DE4275245057","D03","OSBS","OSBS_023","A3","emergentHerbaceousWetlands",29.723722,-81.984832,"WGS84",,32.0,,"2014-07-22","MAM.OSBS.2014.08","NEON.MAM.D03.0R2390","SIHI","Sigmodon hispidus","species",," ","F","N","N",,,"adult",,"nonenlarged","not","neither",32.0,,,,142.00,,,"OSBS.20140722.R2390.F","old","OSBS.20140722.R2390.E",,,,"JdN6ZmAx7oWFIyzymv+BnRh9VwthDgp6K22EnIME4dI=","4L8ym37Asu+KsQosRbU6bIsf8XS1mmQL",,0,0,0,-1,0
"148C5BAE043B4E7FA8B88BAF7AA50858","D03","OSBS","OSBS_023","J7","emergentHerbaceousWetlands",29.723368,-81.983898,"WGS84",,32.0,,"2014-07-22","MAM.OSBS.2014.08","NEON.MAM.D03.0R2308","SIHI","Sigmodon hispidus","species",," ","M","R","Y",,"R","adult","scrotal",,,,31.0,,,,202.00,,,"OSBS.20140722.R2308.F","fresh",,,,,"JdN6ZmAx7oWFIyzymv+BnRh9VwthDgp6K22EnIME4dI=","4L8ym37Asu+KsQosRbU6bIsf8XS1mmQL",,0,0,0,-1,0
"BA811C2471644907A2B4C33660665C84","D03","OSBS","OSBS_023","H6","emergentHerbaceousWetlands",29.723457,-81.984106,"WGS84",,32.0,,"2014-07-22","MAM.OSBS.2014.08",,"SIHI","Sigmodon hispidus","species",," ","F","N","N","escaped",,"juvenile",,"nonenlarged","not","neither",,,,,,,,,,,,,,"JdN6ZmAx7oWFIyzymv+BnRh9VwthDgp6K22EnIME4dI=","4L8ym37Asu+KsQosRbU6bIsf8XS1mmQL","partially degloved on tail.",-1,-1,-1,-1,-1
"E1AB9FFEEBAC4EF8B056384728C57A3C","D03","OSBS","OSBS_023","A3","emergentHerbaceousWetlands",29.723722,-81.984832,"WGS84",,32.0,,"2014-07-23","MAM.OSBS.2014.08","NEON.MAM.D03.0R2396","SIHI","Sigmodon hispidus","species",," ","F","N","N",,,"subadult",,"nonenlarged","not","neither",31.0,,,,94.00,"OSBS.20140723.R2396.B","retroorbital","OSBS.20140723.R2396.F","old","OSBS.20140723.R2396.E",,,,"+6h4Bbwl6lsxSBlxnuuUivKHmzwWv+oA","4L8ym37Asu+KsQosRbU6bIsf8XS1mmQL","degloved tip of tail (likely escape from yesterday)",0,0,0,-1,0
"AA62D6ADD24246A6A6325B3CA671E4CA","D03","OSBS","OSBS_023","D5","emergentHerbaceousWetlands",29.723544,-81.984520,"WGS84",,32.0,,"2014-07-23","MAM.OSBS.2014.08","NEON.MAM.D03.0R2390","SIHI","Sigmodon hispidus","species",," ","F","N","Y",,,"adult",,"nonenlarged","not","neither",31.0,,,,142.00,"OSBS.20140723.R2390.B","retroorbital",,,,,,,"+6h4Bbwl6lsxSBlxnuuUivKHmzwWv+oA","4L8ym37Asu+KsQosRbU6bIsf8XS1mmQL",,0,0,0,-1,0
"17FA3AFC38E24810815C47665DE8FE35","D03","OSBS","OSBS_023","F6","emergentHerbaceousWetlands",29.723456,-81.984313,"WGS84",,32.0,,"2014-07-24","MAM.OSBS.2014.08","NEON.MAM.D03.0R2390","SIHI","Sigmodon hispidus","species",," ","F","N","Y",,,"adult",,"nonenlarged","not","neither",30.0,,,,142.00,,,"OSBS.20140724.R2390.F","old",,,,,"4L8ym37Asu+KsQosRbU6bIsf8XS1mmQL","+6h4Bbwl6lsxSBlxnuuUivKHmzwWv+oA",,0,0,0,-1,0
"628B4AAFDF844DDC8ED2877A0A9BFBE5","D03","OSBS","OSBS_023","I10","emergentHerbaceousWetlands",29.723097,-81.983999,"WGS84",,32.0,,"2014-07-24","MAM.OSBS.2014.08","NEON.MAM.D03.0R2308","SIHI","Sigmodon hispidus","species",," ","M","R","Y",,,"adult","scrotal",,,,31.0,,,,200.00,"OSBS.20140724.R2308.B","retroorbital","OSBS.20140724.R2308.F","old",,,,,"4L8ym37Asu+KsQosRbU6bIsf8XS1mmQL","+6h4Bbwl6lsxSBlxnuuUivKHmzwWv+oA",,0,0,0,-1,0
"4EEA1A37FCC34BA5A7D23AED2DBB893C","D03","OSBS","OSBS_023","B8","emergentHerbaceousWetlands",29.723272,-81.984724,"WGS84",,32.0,,"2014-10-22","MAM.OSBS.2014.11",,"BLCA","Blarina carolinensis","species",," ",,"N","N","escaped",,,,,"not",,,,,,,,,,,,,,,"kVbYsRHqbQ+clR33Ysj8vmNsAfJjA19A","HxLIZ7KCfn3cQnDsiDIQ85I7Hc+ZVjqX",,-1,-1,-1,-1,-1
