"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","samplingProtocol","identificationReferences","measuredBy","recordedBy","morphospeciesIDRemarks","taxonIDRemarks","remarks","missingRecords1m2QF","missingRecords10m2QF","missingRecords100m2QF","duplicateTaxonIDPerBout100m2QF"
"70A7FFA5399F46F4AA7A26D0EF238257","D10","CPER","CPER_009","41",40.826165,-104.745843,"WGS84",2.1,"2014-05-28",1,"DIV.CPER.2014.1","Y","OEAL","Oenothera albicaulis Pursh","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","AHNxvhv4OK4mGSXWK8I1MxdfifOuzbmS",,,,0,0,0,0
"78DAE976839940438013F7726B8705D0","D10","CPER","CPER_009","41",40.826165,-104.745843,"WGS84",2.1,"2014-05-28",1,"DIV.CPER.2014.1","Y","LONU3","Lomatium nuttallii (A. Gray) J.F. Macbr.","species","cf. genus",,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","AHNxvhv4OK4mGSXWK8I1MxdfifOuzbmS",,,,0,0,0,0
"CAB8AC8E5ECC4C93BE0091FE4A75ECA7","D10","CPER","CPER_009","41",40.826165,-104.745843,"WGS84",2.1,"2014-05-28",1,"DIV.CPER.2014.1","Y","OPPO","Opuntia polyacantha Haw.","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","AHNxvhv4OK4mGSXWK8I1MxdfifOuzbmS",,,,0,0,0,0
"E6F30D21DAFF4353BD653B634356F7A9","D10","CPER","CPER_009","41",40.826165,-104.745843,"WGS84",2.1,"2014-05-28",1,"DIV.CPER.2014.1","Y","PIOP","Picradeniopsis oppositifolia (Nutt.) Rydb. ex Britton","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","AHNxvhv4OK4mGSXWK8I1MxdfifOuzbmS",,,,0,0,0,0
"B8EFDE57592446009CD6D07C8161C1FC","D10","CPER","CPER_009","41",40.826165,-104.745843,"WGS84",2.1,"2014-05-28",1,"DIV.CPER.2014.1","Y","PLPA2","Plantago patagonica Jacq.","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","AHNxvhv4OK4mGSXWK8I1MxdfifOuzbmS",,,,0,0,0,0
"72D0D0D738AF4638B0A2BEAD71C1DA30","D10","CPER","CPER_009","41",40.826165,-104.745843,"WGS84",2.1,"2014-05-28",1,"DIV.CPER.2014.1","Y","PSTE5","Psoralidium tenuiflorum (Pursh) Rydb.","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","AHNxvhv4OK4mGSXWK8I1MxdfifOuzbmS",,,,0,0,0,0
"E3773FAA98254984A4965F074B93AF73","D10","CPER","CPER_009","41",40.826165,-104.745843,"WGS84",2.1,"2014-05-28",1,"DIV.CPER.2014.1","Y","PASM","Pascopyrum smithii (Rydb.) Á. Löve","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","AHNxvhv4OK4mGSXWK8I1MxdfifOuzbmS",,,,0,0,0,0
"A6D32528AAFF46FC970ED0974AF9F14C","D10","CPER","CPER_009","41",40.826165,-104.745843,"WGS84",2.1,"2014-05-28",1,"DIV.CPER.2014.1","Y","SPCO","Sphaeralcea coccinea (Nutt.) Rydb.","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","AHNxvhv4OK4mGSXWK8I1MxdfifOuzbmS",,,,0,0,0,0
"869155DC2C59475391741DBC90EB9B3D","D10","CPER","CPER_009","41",40.826165,-104.745843,"WGS84",2.1,"2014-05-28",1,"DIV.CPER.2014.1","Y","THFI","Thelesperma filifolium (Hook.) A. Gray","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","AHNxvhv4OK4mGSXWK8I1MxdfifOuzbmS",,,,0,0,0,0
"66D0A7CC96E548F7A9DD0F990D06E89F","D10","CPER","CPER_009","41",40.826165,-104.745843,"WGS84",2.1,"2014-05-28",1,"DIV.CPER.2014.1","Y","VUOC","Vulpia octoflora (Walter) Rydb.","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","AHNxvhv4OK4mGSXWK8I1MxdfifOuzbmS",,,,0,0,0,0
