"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","otherVariablesPresent","otherVariables","percentCover","samplingProtocol","measuredBy","recordedBy","remarks","duplicateVariablesBout1m2QF"
"63EB5268E4034FAEA3F17BFB5E09124E","D10","CPER","CPER_009","32.4.1",40.826115,-104.745791,"WGS84",0.4,"2014-05-28",1,"DIV.CPER.2014.1","Y","rock",1,"NEON.DOC.014042","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","AHNxvhv4OK4mGSXWK8I1MxdfifOuzbmS",,0
"04C444C9825F482BBA1FFA24C9C1A551","D10","CPER","CPER_009","40.1.1",40.826127,-104.746014,"WGS84",0.4,"2014-05-28",1,"DIV.CPER.2014.1","Y","litter",1,"NEON.DOC.014042","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","n15MKd9HZpj/Ln9qG+710s4OwrcybKrR",,0
"A2BB0D67CF8C40D78D2DDB029FE26CC8","D10","CPER","CPER_009","40.1.1",40.826127,-104.746014,"WGS84",0.4,"2014-05-28",1,"DIV.CPER.2014.1","Y","lichen",0.5,"NEON.DOC.014042","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","n15MKd9HZpj/Ln9qG+710s4OwrcybKrR",,0
"A5A5290E11264CBCBD8B82A392434060","D10","CPER","CPER_009","40.3.1",40.826208,-104.746013,"WGS84",0.4,"2014-05-28",1,"DIV.CPER.2014.1","Y","soil",63,"NEON.DOC.014042","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","n15MKd9HZpj/Ln9qG+710s4OwrcybKrR",,0
"3CC8EA060EA34870AC452FE9B8F77D40","D10","CPER","CPER_009","32.4.1",40.826115,-104.745791,"WGS84",0.4,"2014-05-28",1,"DIV.CPER.2014.1","Y","standingDead",10,"NEON.DOC.014042","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","AHNxvhv4OK4mGSXWK8I1MxdfifOuzbmS",,0
"94F4AAE71B104BCDBE35D4A1575685F5","D10","CPER","CPER_009","40.1.1",40.826127,-104.746014,"WGS84",0.4,"2014-05-28",1,"DIV.CPER.2014.1","Y","rock",0.5,"NEON.DOC.014042","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","n15MKd9HZpj/Ln9qG+710s4OwrcybKrR",,0
"15BC86815B114F4FB94C14976CECCD51","D10","CPER","CPER_009","40.3.1",40.826208,-104.746013,"WGS84",0.4,"2014-05-28",1,"DIV.CPER.2014.1","Y","wood",0.5,"NEON.DOC.014042","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","n15MKd9HZpj/Ln9qG+710s4OwrcybKrR",,0
"129D33F571FE4FA0BD29D2029F879C69","D10","CPER","CPER_009","40.3.1",40.826208,-104.746013,"WGS84",0.4,"2014-05-28",1,"DIV.CPER.2014.1","Y","standingDead",10,"NEON.DOC.014042","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","n15MKd9HZpj/Ln9qG+710s4OwrcybKrR",,0
"2ED5DFF3289D4C38AEF7D12656E06884","D10","CPER","CPER_009","40.1.1",40.826127,-104.746014,"WGS84",0.4,"2014-05-28",1,"DIV.CPER.2014.1","Y","soil",20,"NEON.DOC.014042","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","n15MKd9HZpj/Ln9qG+710s4OwrcybKrR",,0
"4CE1024CAA4A47C4AA96F179E9B8911E","D10","CPER","CPER_009","40.1.1",40.826127,-104.746014,"WGS84",0.4,"2014-05-28",1,"DIV.CPER.2014.1","Y","wood",0.5,"NEON.DOC.014042","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","n15MKd9HZpj/Ln9qG+710s4OwrcybKrR",,0
"06BC4457AA5C4ADDADEEEF0AC7862757","D10","CPER","CPER_009","40.3.1",40.826208,-104.746013,"WGS84",0.4,"2014-05-28",1,"DIV.CPER.2014.1","Y","litter",0.5,"NEON.DOC.014042","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","n15MKd9HZpj/Ln9qG+710s4OwrcybKrR",,0
"072235BA94B34759A22AC5B1B82ABC87","D10","CPER","CPER_009","41.1.1",40.826125,-104.745897,"WGS84",0.4,"2014-05-28",1,"DIV.CPER.2014.1","Y","soil",55,"NEON.DOC.014042","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","n15MKd9HZpj/Ln9qG+710s4OwrcybKrR",,0
"5FAAEF538F5A4CF7ADC145C46DE27889","D10","CPER","CPER_009","31.1.1",40.826035,-104.746017,"WGS84",0.4,"2014-05-28",1,"DIV.CPER.2014.1","Y","wood",0.5,"NEON.DOC.014042","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","n15MKd9HZpj/Ln9qG+710s4OwrcybKrR",,0
"F0102447847E4852B597EE73D77AC89E","D10","CPER","CPER_009","32.2.1",40.826034,-104.745791,"WGS84",0.4,"2014-05-28",1,"DIV.CPER.2014.1","Y","litter",4,"NEON.DOC.014042","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","AHNxvhv4OK4mGSXWK8I1MxdfifOuzbmS",,0
"F496C11E7DBC46C4864486C28EB8D4A9","D10","CPER","CPER_009","31.1.1",40.826035,-104.746017,"WGS84",0.4,"2014-05-28",1,"DIV.CPER.2014.1","Y","scat",0.5,"NEON.DOC.014042","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","n15MKd9HZpj/Ln9qG+710s4OwrcybKrR",,0
"450B94CA2AD34CBFA037A4E5E11DB026","D10","CPER","CPER_009","31.4.1",40.826116,-104.745909,"WGS84",0.4,"2014-05-28",1,"DIV.CPER.2014.1","Y","soil",43,"NEON.DOC.014042","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","n15MKd9HZpj/Ln9qG+710s4OwrcybKrR",,0
"6A3282F100644C2BB818E5A6862076E4","D10","CPER","CPER_009","32.2.1",40.826034,-104.745791,"WGS84",0.4,"2014-05-28",1,"DIV.CPER.2014.1","Y","rock",0.5,"NEON.DOC.014042","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","AHNxvhv4OK4mGSXWK8I1MxdfifOuzbmS",,0
"329D06442DC84CC09977243EB109C3F9","D10","CPER","CPER_009","31.1.1",40.826035,-104.746017,"WGS84",0.4,"2014-05-28",1,"DIV.CPER.2014.1","Y","litter",6,"NEON.DOC.014042","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","n15MKd9HZpj/Ln9qG+710s4OwrcybKrR",,0
"FE0E4FF120494465998A391D3580F7BC","D10","CPER","CPER_009","32.2.1",40.826034,-104.745791,"WGS84",0.4,"2014-05-28",1,"DIV.CPER.2014.1","Y","lichen",0.5,"NEON.DOC.014042","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","AHNxvhv4OK4mGSXWK8I1MxdfifOuzbmS",,0
"758483DCE99140E59C804D61E02FED22","D10","CPER","CPER_009","32.2.1",40.826034,-104.745791,"WGS84",0.4,"2014-05-28",1,"DIV.CPER.2014.1","Y","soil",60,"NEON.DOC.014042","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","AHNxvhv4OK4mGSXWK8I1MxdfifOuzbmS",,0
"14027975E4C14AE893A6972E8F86AE33","D10","CPER","CPER_009","31.4.1",40.826116,-104.745909,"WGS84",0.4,"2014-05-28",1,"DIV.CPER.2014.1","Y","standingDead",8,"NEON.DOC.014042","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","n15MKd9HZpj/Ln9qG+710s4OwrcybKrR",,0
"9996CFA7D18C406A9D147A5C69B4260C","D10","CPER","CPER_009","31.1.1",40.826035,-104.746017,"WGS84",0.4,"2014-05-28",1,"DIV.CPER.2014.1","Y","standingDead",12,"NEON.DOC.014042","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","n15MKd9HZpj/Ln9qG+710s4OwrcybKrR",,0
"41FBF7C263AC4746802985806FCB9E15","D10","CPER","CPER_009","31.4.1",40.826116,-104.745909,"WGS84",0.4,"2014-05-28",1,"DIV.CPER.2014.1","Y","rock",18,"NEON.DOC.014042","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","n15MKd9HZpj/Ln9qG+710s4OwrcybKrR",,0
"4B4E88A472444269A8920C69F72C3390","D10","CPER","CPER_009","32.2.1",40.826034,-104.745791,"WGS84",0.4,"2014-05-28",1,"DIV.CPER.2014.1","Y","standingDead",9,"NEON.DOC.014042","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","AHNxvhv4OK4mGSXWK8I1MxdfifOuzbmS",,0
